split,label,label_id,filename,path
train,ai,0,ai_000834.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_000834.jpg
train,real,1,real_001466.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\real\real_001466.jpg
train,ai,0,ai_009598.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_009598.jpg
train,ai,0,ai_000786.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_000786.jpg
train,real,1,real_008181.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\real\real_008181.jpg
train,real,1,real_002230.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\real\real_002230.jpg
train,ai,0,ai_008126.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_008126.jpg
train,ai,0,ai_011596.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_011596.jpg
train,real,1,real_005390.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\real\real_005390.jpg
train,ai,0,ai_004791.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_004791.jpg
train,ai,0,ai_004947.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_004947.jpg
train,real,1,real_001292.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\real\real_001292.jpg
train,ai,0,ai_011270.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_011270.jpg
train,ai,0,ai_003711.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_003711.jpg
train,ai,0,ai_005590.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_005590.jpg
train,real,1,real_004586.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\real\real_004586.jpg
train,ai,0,ai_009030.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_009030.jpg
train,real,1,real_008465.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\real\real_008465.jpg
train,real,1,real_000886.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\real\real_000886.jpg
train,ai,0,ai_011415.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_011415.jpg
train,ai,0,ai_002432.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_002432.jpg
train,real,1,real_008791.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\real\real_008791.jpg
train,real,1,real_006475.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\real\real_006475.jpg
train,real,1,real_008613.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\real\real_008613.jpg
train,ai,0,ai_010678.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_010678.jpg
train,ai,0,ai_010729.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_010729.jpg
train,ai,0,ai_006582.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_006582.jpg
train,ai,0,ai_010066.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_010066.jpg
train,ai,0,ai_005467.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_005467.jpg
train,real,1,real_005575.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\real\real_005575.jpg
train,real,1,real_004661.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\real\real_004661.jpg
train,ai,0,ai_007985.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_007985.jpg
train,real,1,real_007682.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\real\real_007682.jpg
train,real,1,real_009213.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\real\real_009213.jpg
train,real,1,real_009312.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\real\real_009312.jpg
train,real,1,real_004144.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\real\real_004144.jpg
train,ai,0,ai_005966.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_005966.jpg
train,real,1,real_007334.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\real\real_007334.jpg
train,ai,0,ai_005809.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_005809.jpg
train,real,1,real_009087.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\real\real_009087.jpg
train,real,1,real_005324.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\real\real_005324.jpg
train,real,1,real_005741.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\real\real_005741.jpg
train,real,1,real_004855.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\real\real_004855.jpg
train,ai,0,ai_001075.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_001075.jpg
train,real,1,real_009102.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\real\real_009102.jpg
train,ai,0,ai_001154.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_001154.jpg
train,real,1,real_006326.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\real\real_006326.jpg
train,ai,0,ai_007642.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_007642.jpg
train,ai,0,ai_009042.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_009042.jpg
train,real,1,real_002521.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\real\real_002521.jpg
train,ai,0,ai_001348.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_001348.jpg
train,real,1,real_002078.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\real\real_002078.jpg
train,ai,0,ai_005168.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_005168.jpg
train,real,1,real_004367.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\real\real_004367.jpg
train,ai,0,ai_000650.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_000650.jpg
train,real,1,real_001722.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\real\real_001722.jpg
train,ai,0,ai_011602.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_011602.jpg
train,real,1,real_007165.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\real\real_007165.jpg
train,ai,0,ai_001394.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_001394.jpg
train,ai,0,ai_006660.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_006660.jpg
train,real,1,real_006814.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\real\real_006814.jpg
train,ai,0,ai_007784.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_007784.jpg
train,ai,0,ai_009918.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_009918.jpg
train,real,1,real_001175.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\real\real_001175.jpg
train,real,1,real_005910.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\real\real_005910.jpg
train,real,1,real_008132.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\real\real_008132.jpg
train,ai,0,ai_008058.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_008058.jpg
train,real,1,real_004825.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\real\real_004825.jpg
train,real,1,real_007471.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\real\real_007471.jpg
train,ai,0,ai_001541.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_001541.jpg
train,ai,0,ai_001596.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_001596.jpg
train,ai,0,ai_001231.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_001231.jpg
train,real,1,real_005851.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\real\real_005851.jpg
train,ai,0,ai_010014.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_010014.jpg
train,ai,0,ai_001427.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_001427.jpg
train,ai,0,ai_009357.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_009357.jpg
train,ai,0,ai_010069.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_010069.jpg
