label,new_name,original_mode,original_size,status,error,source_path,output_path
ai,ai_000001.jpg,RGB,880x440,ok,,C:\Users\shash\Downloads\DATASET\DATASET\AI\-how-important-people-from-the-past-really-looked-11-Pics-5ffd5c0f4d77f__880.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_000001.jpg
ai,ai_000002.jpg,RGB,2940x1960,ok,,C:\Users\shash\Downloads\DATASET\DATASET\AI\-s-fluffy-fur-and-round-features-immediately-melted-the-viewer-s-heart-photo.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_000002.jpg
ai,ai_000003.jpg,RGB,1067x1690,ok,,C:\Users\shash\Downloads\DATASET\DATASET\AI\-using-generative-ai-technology-landscape-pattern-abstract-concept-269270897.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_000003.jpg
ai,ai_000004.jpg,RGB,800x800,ok,,C:\Users\shash\Downloads\DATASET\DATASET\AI\-yellow-kimono-with-a-golden-crown-and-a-very-detailed-Barn-owl-copy-800x800.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_000004.jpg
ai,ai_000005.jpg,P,1200x600,ok,,C:\Users\shash\Downloads\DATASET\DATASET\AI\0002_AI-in-animal-classification.png,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_000005.jpg
ai,ai_000006.jpg,RGB,1664x1120,ok,,C:\Users\shash\Downloads\DATASET\DATASET\AI\00urban_biodiversity_landscape_architecture_14ed209d-45ca-4c57-b995-4d1552813cc1.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_000006.jpg
ai,ai_000007.jpg,RGB,1021x574,ok,,C:\Users\shash\Downloads\DATASET\DATASET\AI\03a3gbCKfH8dDJnjhHLuHDf-1.fit_lim.v1665523315.png,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_000007.jpg
ai,ai_000008.jpg,RGB,1400x933,ok,,C:\Users\shash\Downloads\DATASET\DATASET\AI\06as5rHi0sgG4W2Tq.png,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_000008.jpg
ai,ai_000009.jpg,RGB,1024x688,ok,,C:\Users\shash\Downloads\DATASET\DATASET\AI\06db055c-ai-hallucination-rag-1024x688.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_000009.jpg
ai,ai_000010.jpg,RGB,1600x1600,ok,,C:\Users\shash\Downloads\DATASET\DATASET\AI\07-the-coffee-service-hossaini-art-ai.x3e656121.png,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_000010.jpg
ai,ai_000011.jpg,RGB,600x600,ok,,C:\Users\shash\Downloads\DATASET\DATASET\AI\07IHO-LENSA-TOPART-articleLarge.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_000011.jpg
ai,ai_000012.jpg,RGB,1800x1200,ok,,C:\Users\shash\Downloads\DATASET\DATASET\AI\082922_GeneratedArtAI_02_teh_z1b_04.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_000012.jpg
ai,ai_000013.jpg,RGB,2400x1600,ok,,C:\Users\shash\Downloads\DATASET\DATASET\AI\08_No-more-lost-in-translation.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_000013.jpg
ai,ai_000014.jpg,RGB,1400x933,ok,,C:\Users\shash\Downloads\DATASET\DATASET\AI\0EAwg7WIIMhgnSfLf.png,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_000014.jpg
ai,ai_000015.jpg,RGB,1280x1280,ok,,C:\Users\shash\Downloads\DATASET\DATASET\AI\0nglsAEPlxapCcJZA.jpeg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_000015.jpg
ai,ai_000016.jpg,RGB,789x1040,ok,,C:\Users\shash\Downloads\DATASET\DATASET\AI\0qL4hrXp-V_NW-FR-.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_000016.jpg
ai,ai_000017.jpg,RGB,900x600,ok,,C:\Users\shash\Downloads\DATASET\DATASET\AI\1-trippy-cubism-psychedelic-fun-cocktails-mojitos-ai-generated-olfactoart-studio.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_000017.jpg
ai,ai_000018.jpg,RGB,1000x667,ok,,C:\Users\shash\Downloads\DATASET\DATASET\AI\1000_F_551420122_DMVybsWtGw1kS6ogwlk66jcm78PmUIgn.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_000018.jpg
ai,ai_000019.jpg,RGB,1000x669,ok,,C:\Users\shash\Downloads\DATASET\DATASET\AI\1000_F_555746402_GNMEIKpEuTIXooW5B1SEEy7VnK3rklI5.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_000019.jpg
ai,ai_000020.jpg,RGB,1000x1000,ok,,C:\Users\shash\Downloads\DATASET\DATASET\AI\1000_F_557173172_OZOK6P7w9PBUajB5n9YKcGlvMYumKKaL.jpg,C:\Users\shash\Downloads\DATASET\DATASET\cleaned_data\standardised\ai\ai_000020.jpg
